original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
natural well water|natural well water|unknown|water|water|unknown|unknown
natural white meat chicken flavor|natural white meat chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural whitefish flavor|natural whitefish flavor|special purpose products|flavors|natural flavors|flavors|flavors
natural yeast flavor|natural yeast flavor|special purpose products|flavors|natural flavors|flavors|flavors
naturalflavor|natural flavor|special purpose products|flavors|natural flavors|flavors|flavors
naturally occurring microorganisms|naturally occurring microorganisms|unknown|unknown|unknown|unknown|unknown
naturally preserved with mixed-tocopherols|natural tocopherols|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
naturel flavor|naturel flavor|special purpose products|flavors|natural flavors|flavors|flavors
navy beans|navy beans|miscellaneous products|legumes|general legume products|legumes|general legume products
n-butyric acid|n-butyric acid|unknown|fats and oils|n-butyric acid|fats and oils|n-butyric acid
new york strip flavor|new york strip flavor|special purpose products|flavors|natural flavors|flavors|flavors
new zealand grass-fed lamb green tripe|lamb tripe|animal products|animal products|lamb|animal products|lamb
new zealand green lipped mussels|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
new zealand green mussel|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
new zealand green mussel (source of glucosamine & chondroitin sulfate)|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
new zealand green mussels|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
new zealand lamb tripe|new zealand lamb tripe|animal products|animal products|lamb|animal products|lamb
new zealand mussel|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
new zealand sea mussel|new zealand green-lipped mussel|marine products|marine products|seafood|marine products|other seafood
niacin|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin (source of vitamin b3)|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin (vitamin 133)|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin (vitamin b3)|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin (vitamin b-3)|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin (vitamin b-3)|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplement|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplement (source of vitamin b3)|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplement (vitamin b3)|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplement (vitaminb3)|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplement(vitamin b3)|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacin supplemment|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacinamide|niacinamide|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
niacinsupplement|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicacin|niacin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicin supplement|niacin supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicotinic acid|nicotinic acid|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicotinic acid (source of vitamin b3)|nicotinic acid|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicotinic acid (vitamin b3 supplement)|nicotinic acid|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicotinic acid (vitamin b3)|nicotinic acid|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
nicotinic add (source of vitamin b3)|nicotinic acid|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
norkotah potato|norkotah potato|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
nutritional yeast|nutritional yeast|yeast|fermentation products|yeast|fermentation products|yeast
oat bran|oat bran|oat products|grains|oats|grains|oats
oat fiber|oat fiber|oat products|roughage fiber|oat fiber|roughage fiber|oat fiber
oat flour|oat flour|oat products|grains|oats|grains|oats
oat groats|oat groats|oat products|grains|oats|grains|oats
oat hulls|oat hull|oat products|grains|oats|grains|oats
oat meal|oat meal|oat products|grains|oats|grains|oats
oatmeal|oat meal|oat products|grains|oats|grains|oats
oats|oats|oat products|grains|oats|grains|oats
ocean fish|ocean fish|marine products|marine products|fish|marine products|fish
ocean fish (sardine and mackerel)|ocean fish|marine products|marine products|fish|marine products|fish
ocean fish (source of omega 3)|ocean fish|marine products|marine products|fish|marine products|fish
ocean fish broth|ocean fish broth|marine products|marine products|fish|marine products|fish
ocean fish meal|ocean fish meal|marine products|marine products|fish|marine products|fish
ocean herring meal|ocean herring meal|marine products|marine products|fish|marine products|fish
ocean white fish|ocean white fish|marine products|marine products|fish|marine products|fish
ocean whitefish|ocean whitefish|marine products|marine products|fish|marine products|fish
ocean whitefish meal|ocean whitefish meal|marine products|marine products|fish|marine products|fish
oceanfish|ocean fish|marine products|marine products|fish|marine products|fish
oceanfish broth|ocean fish broth|marine products|marine products|fish|marine products|fish
oceanfish meal|oceanfish meal|marine products|marine products|fish|marine products|fish
oil of rosemary|rosemary oil|unknown|fats and oils|rosemary oil|fats and oils|rosemary oil
oil of rosemary|rosemary oil|unknown|fats and oils|rosemary oil|fats and oils|rosemary oil
okra|okra|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
oligofructose|oligofructose|unknown|additives|artificial additives|additives|artificial additives
olive oil|olive oil|fats and oils|fats and oils|olive oil|fats and oils|olive oil
olive oil (preserved with mixed tocopherols)|olive oil (preserved with mixed tocopherols)|fats and oils|fats and oils|olive oil|fats and oils|olive oil
olive oil (preserved with mixed tocopherols)|olive oil (preserved with mixed tocopherols)|fats and oils|fats and oils|olive oil|fats and oils|olive oil
olive oil preserved with mixed tocopherols|olive oil (preserved with mixed tocopherols)|fats and oils|fats and oils|olive oil|fats and oils|olive oil
omega 3|omega 3 fatty acid|fats and oils|fats and oils|omega fatty acids|fats and oils|omega fatty acids
omega 3 & 6 from fish oil|omega 3 & 6 fatty acids|fats and oils|fats and oils|omega fatty acids|fats and oils|omega fatty acids
orange|orange|citrus products|fruits and vegetables|fruits|fruits and vegetables|fruits
orange juice|orange juice|citrus products|fruits and vegetables|fruits|fruits and vegetables|fruits
oranges|oranges|citrus products|fruits and vegetables|fruits|fruits and vegetables|fruits
oregano|oregano|human food by-products|herbs & spices|spices|herbs & spices|spices
organic alfalfa|organic alfalfa|alfalfa products|legumes|alfalfa|legumes|alfalfa
organic alfalfa meal|organic alfalfa meal|alfalfa products|legumes|alfalfa|legumes|alfalfa
organic amaranth|organic amaranth|unknown|fruits and vegetables|vegetables|fruits and vegetables|vegetables
organic amarath|organic amaranth|unknown|fruits and vegetables|vegetables|fruits and vegetables|vegetables
organic apple|organic apple|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
organic apple cider vinegar|organic apple cider vinegar|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
organic apples|organic apple|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
organic banana|organic banana|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
organic bananas|organic banana|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
organic barley|organic barley|barley products|grains|barley|grains|barley
organic barley grass|organic barley grass|barley products|grains|barley|grains|barley
organic barley grass powder|organic barley grass powder|barley products|grains|barley|grains|barley
